ID,Topic_EN,Topic_ES,Topic_DE,Topic_FR,Topic_ZH,Description_EN,Description_ES,Description_DE,Description_FR,Description_ZH,Level,Estimated_Hours,Resources
795,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,28,"Kaggle, GitHub, Research Papers"
796,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,9,"edX, Blogs, Tutorials"
797,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,25,"Kaggle, GitHub, Research Papers"
798,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,38,"edX, Blogs, Tutorials"
799,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,22,"Kaggle, GitHub, Research Papers"
800,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,35,"Coursera, YouTube, Books"
801,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,11,"Coursera, YouTube, Books"
802,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Beginner,26,"Kaggle, GitHub, Research Papers"
803,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Beginner,44,"edX, Blogs, Tutorials"
804,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,13,"Kaggle, GitHub, Research Papers"
805,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,50,"edX, Blogs, Tutorials"
806,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,24,"edX, Blogs, Tutorials"
807,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,38,"edX, Blogs, Tutorials"
808,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,28,"edX, Blogs, Tutorials"
809,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,24,"edX, Blogs, Tutorials"
810,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,49,"Coursera, YouTube, Books"
811,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,22,"edX, Blogs, Tutorials"
812,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Advanced,13,"edX, Blogs, Tutorials"
813,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,5,"edX, Blogs, Tutorials"
814,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Intermediate,46,"Coursera, YouTube, Books"
815,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,41,"Kaggle, GitHub, Research Papers"
816,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,49,"Coursera, YouTube, Books"
817,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,27,"edX, Blogs, Tutorials"
818,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,25,"Coursera, YouTube, Books"
819,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Beginner,19,"Coursera, YouTube, Books"
820,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,16,"Coursera, YouTube, Books"
821,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,6,"Kaggle, GitHub, Research Papers"
822,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,6,"edX, Blogs, Tutorials"
823,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,11,"Kaggle, GitHub, Research Papers"
824,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,22,"edX, Blogs, Tutorials"
825,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,11,"Kaggle, GitHub, Research Papers"
826,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,37,"edX, Blogs, Tutorials"
827,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Advanced,21,"Kaggle, GitHub, Research Papers"
828,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,38,"Kaggle, GitHub, Research Papers"
829,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,47,"Kaggle, GitHub, Research Papers"
830,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,31,"Coursera, YouTube, Books"
831,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Beginner,48,"edX, Blogs, Tutorials"
832,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,7,"edX, Blogs, Tutorials"
833,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,46,"Coursera, YouTube, Books"
834,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,19,"Kaggle, GitHub, Research Papers"
835,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,24,"edX, Blogs, Tutorials"
836,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,14,"edX, Blogs, Tutorials"
837,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,22,"edX, Blogs, Tutorials"
838,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,40,"Kaggle, GitHub, Research Papers"
839,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,8,"edX, Blogs, Tutorials"
840,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,13,"Coursera, YouTube, Books"
841,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,46,"Coursera, YouTube, Books"
842,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Advanced,15,"Kaggle, GitHub, Research Papers"
843,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,49,"Coursera, YouTube, Books"
844,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,11,"edX, Blogs, Tutorials"
845,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,44,"edX, Blogs, Tutorials"
846,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,49,"Coursera, YouTube, Books"
847,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,36,"edX, Blogs, Tutorials"
848,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,6,"Kaggle, GitHub, Research Papers"
849,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,36,"Coursera, YouTube, Books"
850,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,13,"Coursera, YouTube, Books"
851,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Intermediate,42,"Kaggle, GitHub, Research Papers"
852,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,50,"Coursera, YouTube, Books"
853,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,35,"Kaggle, GitHub, Research Papers"
854,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,16,"Kaggle, GitHub, Research Papers"
855,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Advanced,30,"Kaggle, GitHub, Research Papers"
856,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,37,"Kaggle, GitHub, Research Papers"
857,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,6,"Kaggle, GitHub, Research Papers"
858,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,13,"edX, Blogs, Tutorials"
859,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,20,"edX, Blogs, Tutorials"
860,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Advanced,13,"edX, Blogs, Tutorials"
861,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,15,"Coursera, YouTube, Books"
862,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,20,"Coursera, YouTube, Books"
863,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Advanced,6,"edX, Blogs, Tutorials"
864,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Advanced,28,"Coursera, YouTube, Books"
865,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,15,"edX, Blogs, Tutorials"
866,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,25,"Coursera, YouTube, Books"
867,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,35,"edX, Blogs, Tutorials"
868,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,27,"Kaggle, GitHub, Research Papers"
869,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,41,"Coursera, YouTube, Books"
870,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,12,"edX, Blogs, Tutorials"
871,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,14,"Kaggle, GitHub, Research Papers"
872,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,17,"Kaggle, GitHub, Research Papers"
873,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,27,"Kaggle, GitHub, Research Papers"
874,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Advanced,41,"edX, Blogs, Tutorials"
875,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Intermediate,10,"Coursera, YouTube, Books"
876,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,38,"edX, Blogs, Tutorials"
877,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Advanced,14,"edX, Blogs, Tutorials"
878,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Beginner,26,"Coursera, YouTube, Books"
879,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Data Preprocessing,Cleaning and transforming raw data for ML models.,Limpieza y transformación de datos para modelos de ML.,Bereinigung und Transformation von Rohdaten für ML-Modelle.,Nettoyage et transformation des données pour les modèles ML.,为机器学习模型清理和转换原始数据。,Intermediate,46,"Kaggle, GitHub, Research Papers"
880,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Beginner,20,"Coursera, YouTube, Books"
881,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,5,"edX, Blogs, Tutorials"
882,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,31,"Kaggle, GitHub, Research Papers"
883,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,35,"Coursera, YouTube, Books"
884,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,16,"edX, Blogs, Tutorials"
885,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Advanced,5,"Coursera, YouTube, Books"
886,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Advanced,16,"edX, Blogs, Tutorials"
887,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,20,"Coursera, YouTube, Books"
888,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Natural Language Processing,Techniques for processing and analyzing text data.,Técnicas para procesar y analizar datos de texto.,Techniken zur Verarbeitung und Analyse von Textdaten.,Techniques pour traiter et analyser les données textuelles.,处理和分析文本数据的技术。,Beginner,33,"Coursera, YouTube, Books"
889,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,44,"edX, Blogs, Tutorials"
